Login ID,Repo Count,Follower Count,Member Since
vladanghene,71.0,33.0,20130305.0
sakuakha,7.0,0.0,20130409.0
aiazanklkm,16.0,210.0,20130415.0
resdo,66.0,211.0,20130927.0
zhenglu0,37.0,699.0,20131007.0
STRd6,234.0,782.0,20080730.0
ronenhamias,47.0,1589.0,20120504.0
oKciknHve,39.0,4695.0,20121219.0
onikdireyemm,3.0,14.0,20130226.0
m49an5xla,69.0,9.0,20130313.0
enhagsrusi,18.0,12326.0,20131107.0
0cy1rche1,122.0,5.0,20140214.0
lgeh-ogedSealyeop,133.0,50.0,20140825.0
sonmio,3.0,28.0,20170109.0
pablogarriga,32.0,6.0,20170904.0
opengineer,22.0,3043.0,20171016.0
ishiramn,13.0,20.0,20080526.0
fortune,11.0,6.0,20090106.0
singerdmx,15.0,446.0,20090903.0
shsiagnrue,18.0,12326.0,20131107.0
shennsijktu,78.0,272.0,20141222.0
steffanjensen,107.0,411.0,20150718.0
q00nshn2eig8,55.0,99.0,20170206.0
verejava,5.0,1000.0,20180525.0
ky-bot,1.0,300.0,20200508.0
adampatterson,49.0,56.0,20081028.0
ivansf,14.0,24.0,20090129.0
nvkKeiHoc,39.0,4695.0,20121219.0
TroyDWhite,10.0,7.0,20130210.0
ssirgueanh,18.0,12326.0,20131107.0
JaiiRashad34,6.0,1.0,20180112.0
ahmedalazazy,298.0,235.0,20190612.0
Asmae-salhi,4.0,1.0,20200402.0
msakazo,2.0,1.0,20200525.0
MintThitiratChamnan,14.0,26.0,20210801.0
geeaurewne,253.0,301.0,20081203.0
datapimp,78.0,102.0,20081228.0
throughnothing,152.0,122.0,20090309.0
ekeons,39.0,265.0,20090317.0
thejeshgn,299.0,686.0,20090421.0
Neustradamus,42.0,445.0,20090714.0
carlos8f,238.0,302.0,20090720.0
alexindigo,183.0,125.0,20090915.0
martindale,1691.0,470.0,20090922.0
ijohrcparsdn,167.0,1187.0,20091107.0
miguelmota,543.0,1530.0,20091216.0
aprock,4.0,22.0,20091225.0
oevxt0-r,114.0,199.0,20100405.0
shovon,169.0,159.0,20100523.0
RichAyotte,29.0,36.0,20100603.0
alexeykudinkin,29.0,42.0,20101005.0
lmatteis,79.0,190.0,20101224.0
raisty,31.0,72.0,20101227.0
karlsnyder0,6.0,5.0,20110225.0
mattvick,75.0,7.0,20110304.0
ksetrin,34.0,9.0,20110317.0
fijiwebdesign,121.0,18.0,20110525.0
kantmakm,19.0,6.0,20110606.0
eeaknpvos,186.0,106.0,20110626.0
marko-jankovic,8.0,136.0,20110711.0
grisaitis,72.0,42.0,20110711.0
martinheidegger,385.0,316.0,20110714.0
onsails,165.0,194.0,20090721.0
suenot,311.0,83.0,20120210.0
hffke927,50.0,186.0,20120927.0
bobomurod,89.0,120.0,20130131.0
aikomkj,28.0,11.0,20150414.0
mstraughan86,27.0,5886.0,20150912.0
artemii235,42.0,62.0,20151109.0
soldat13,6.0,39.0,20160602.0
KaterinaToy,0.0,19.0,20200208.0
tsrj,7.0,14.0,20090304.0
astnusov,33.0,24.0,20120402.0
ckoHinevK,39.0,4695.0,20121219.0
migueljulio,20.0,3.0,20140212.0
tentone,38.0,240.0,20141011.0
FranciscoJGuz,9.0,121.0,20151029.0
imbi7py,0.0,0.0,0.0
s210owod9n,0.0,10.0,20190306.0
dsnantio,21.0,24.0,20080407.0
mattn,1833.0,9790.0,20080513.0
odunfn,105.0,831.0,20081007.0
x2c3z4,29.0,98.0,20110724.0
adyliu,16.0,272.0,20111104.0
eigojanf,32.0,18.0,20111221.0
korirto,40.0,2639.0,20111230.0
onemouth,18.0,26.0,20120204.0
buffer8848,51.0,36.0,20120717.0
krisjin,122.0,132.0,20121019.0
mikegwhit,11.0,1027.0,20121205.0
gifkwii,42.0,11.0,20130320.0
hehead,1.0,641.0,20130512.0
fastcoinproject,6.0,30.0,20130528.0
russinhgae,18.0,12326.0,20131107.0
johnbey,2.0,0.0,20131204.0
jkk2h,1.0,120.0,20151105.0
lezasantaizi,35.0,25.0,20140613.0
drybeans,63.0,16.0,20140826.0
crDia0Nti,10.0,34.0,20150630.0
neyP-liuaLrx,2.0,1200.0,20161010.0
afmQZYenre,1647.0,168.0,20170104.0
krodyx,762.0,166.0,20170224.0
mengcoin,2.0,16.0,20180115.0
Jungjaegu,20.0,9.0,20180525.0
batsuuri,3.0,0.0,20120607.0
InduprasadSR,11.0,345.0,20150430.0
ydearsnb,63.0,16.0,20140826.0
rtacD0Nii,10.0,34.0,20150630.0
freemanZYQ,1647.0,168.0,20170104.0
ydkxro,762.0,166.0,20170224.0
mocgnnei,2.0,16.0,20180115.0
nJgugueaj,20.0,9.0,20180525.0
ssevlostp,29.0,100.0,20111203.0
nioHkvecK,39.0,4695.0,20121219.0
erravimishracse,22.0,356.0,20160713.0
leaoGrpoNy,4.0,11.0,20170506.0
vcst,64.0,51.0,20080407.0
nrtwaniei,11.0,77.0,20080515.0
tosh,73.0,272.0,20080624.0
fundon,105.0,831.0,20081007.0
bluet,66.0,150.0,20090202.0
atlecnw,257.0,175.0,20090310.0
nies,36.0,9655.0,20090402.0
uair,30.0,140.0,20090529.0
rasata,1780.0,50.0,20090609.0
zmughal,256.0,488.0,20090611.0
audy,184.0,331.0,20090816.0
gongfuPanada,1605.0,14.0,20090829.0
fly51fly,11.0,3459.0,20090919.0
keix,4.0,17.0,20091027.0
mrrsiqua,178.0,114.0,20091205.0
suneil,36.0,15.0,20091209.0
manihrje,0.0,3.0,20100317.0
rfilipo,50.0,36.0,20100318.0
andy-williams,46.0,40.0,20100411.0
robbinhan,154.0,70.0,20100412.0
batermj,2384.0,1429.0,20100423.0
WillemJan,35.0,0.0,20100501.0
kjaylee,168.0,40.0,20100504.0
greysun,103.0,38.0,20100515.0
GabiThume,34.0,80.0,20100527.0
73933t35,45.0,15.0,20100528.0
johndpope,8082.0,664.0,20100528.0
botsbrain,10.0,142.0,20100601.0
kima2081i,40.0,425.0,20100230.0
EmpeRoar,246.0,31.0,20100630.0
sudachen,146.0,53.0,20080228.0
norazm,108.0,252.0,20080510.0
jpzk,107.0,113.0,20081030.0
wedtm,43.0,27.0,20081104.0
edagonzlz,90.0,170.0,20090906.0
influx6,689.0,302.0,20090926.0
sothgaiz,149.0,96.0,20091016.0
gregzuro,30.0,21.0,20100402.0
dadaphl,18.0,37.0,20100925.0
toinAtJeannn,50.0,104.0,20101129.0
almartin82,72.0,80.0,20110511.0
hieple7985,33.0,47.0,20110608.0
xaviarias,16.0,58.0,20110626.0
jhonsu01,41.0,33.0,20120531.0
mortdeus,91.0,101.0,20120621.0
ckabuya,38.0,2.0,20120821.0
yh0ers,20.0,26.0,20121019.0
jondo89,10.0,241.0,20121126.0
lrettig,86.0,219.0,20130119.0
rikonor,97.0,20.0,20130127.0
ales9000,6.0,21.0,20130206.0
kinkin10,226.0,910.0,20110413.0
dendisuhubdy,2885.0,506.0,20130520.0
pkrasam,295.0,52.0,20130524.0
gaocegege,397.0,2379.0,20130727.0
yyeexxhhh,10.0,18.0,20130820.0
manjotkhangura,2.0,0.0,20140111.0
gzri-,9.0,0.0,20140122.0
iamgilwell,33.0,98.0,20140222.0
peterp,30.0,413.0,20090107.0
vilmibm,105.0,534.0,20090624.0
